Entity,Code,Day,Delta,Alpha,Eta,Iota,Beta,Epsilon,Gamma,Kappa,non_who,Lambda
Romania,ROU,2021-03-08,0,59.09,0,0,0,0,1.82,0,39.09,0
Romania,ROU,2021-03-22,0,83.33,0,0,0,0,0,0,16.67,0
Romania,ROU,2021-04-05,11.21,75.86,0,0,1.72,0,0.86,0,10.35,0
Romania,ROU,2021-04-19,0,88.52,0,3.28,0,0,1.64,0,6.56,0
Romania,ROU,2021-05-03,2.44,89.02,0,0,1.22,0,2.44,0,4.88,0
Romania,ROU,2021-05-17,3.9,89.61,0,0,5.19,0,0,0,1.3,0
Romania,ROU,2021-05-31,9.35,84.11,0,0,0.93,0,4.67,0,0.94,0
Romania,ROU,2021-06-14,14.04,80.7,0,0,0,0,1.75,0,3.51,0
Russia,RUS,2021-03-08,0,16.57,0,0,1.14,0,0,0,82.29,0
Russia,RUS,2021-03-22,0,14.41,0,0,0.9,0,0,0,84.69,0
Russia,RUS,2021-04-05,0,33.18,0,0,1.42,0,0,0,65.4,0
Russia,RUS,2021-04-19,1.32,20.18,0,0,1.32,0,0,0,77.18,0
Russia,RUS,2021-05-03,5.3,19.08,0.35,0,1.06,0,0,0,74.21,0
Russia,RUS,2021-05-17,26.11,19.03,0.44,0,1.77,0,0,0,52.65,0
Russia,RUS,2021-05-31,71.66,9.12,0,0,0,0,0,0,19.22,0
Russia,RUS,2021-06-14,90.35,1.15,0.29,0,0.29,0,0,0,7.92,0
Russia,RUS,2021-06-28,94.37,1.41,0,0,0,0,0,0,4.22,0
Russia,RUS,2021-07-12,100,0,0,0,0,0,0,0,0,0
Rwanda,RWA,2021-06-28,77.17,0,0,0,14.13,0,0,0,8.7,0
Singapore,SGP,2021-03-08,0,19.35,0,0,22.58,0,0,3.23,54.84,0
Singapore,SGP,2021-03-22,0,22.22,2.22,0,35.56,0,0,2.22,37.78,0
Singapore,SGP,2021-04-05,1.22,26.22,1.83,1.83,45.12,0.61,0.61,9.15,13.41,0
Singapore,SGP,2021-04-19,16.49,18.62,1.6,0,30.32,0,2.13,13.83,17.01,0
Singapore,SGP,2021-05-03,64.92,9.95,1.05,0,9.42,0,0.52,6.81,7.33,0
Singapore,SGP,2021-05-17,84.02,3.2,0,0,5.94,0,0,1.37,5.47,0
Singapore,SGP,2021-05-31,90.3,0.91,0,0,3.64,0,0,0,5.15,0
Singapore,SGP,2021-06-14,94.8,1.16,0,0,1.16,0,1.16,0,1.72,0
Singapore,SGP,2021-06-28,96.31,0.46,0,0,1.38,0,0,0,1.85,0
Singapore,SGP,2021-07-12,93.33,2.67,0,0,1.33,0,0,0,2.67,0
Singapore,SGP,2021-07-22,99.17,0,0,0,0,0,0,0,0.83,0
Sint Maarten (Dutch part),SXM,2021-04-05,0,90,0,5,2.5,0,0,2.5,0,0
Sint Maarten (Dutch part),SXM,2021-05-03,3.03,84.85,0,3.03,0,0,0,0,9.09,0
Sint Maarten (Dutch part),SXM,2021-05-31,0,91.89,0,8.11,0,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-06-14,0,100,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),SXM,2021-06-28,0,98.53,0,0,0,0,0,0,1.47,0
Sint Maarten (Dutch part),SXM,2021-07-12,12.82,87.18,0,0,0,0,0,0,0,0
Slovakia,SVK,2021-03-08,0,95.42,0,0,0.46,0,0,0,4.12,0
Slovakia,SVK,2021-03-22,0,95.64,0,0,1.27,0,0,0,3.09,0
Slovakia,SVK,2021-04-05,0,98.03,0,0,0,0,0,0,1.97,0
Slovakia,SVK,2021-04-19,0,98.31,0,0,1.02,0,0,0,0.67,0
Slovakia,SVK,2021-05-03,0,98.78,0,0,0.92,0,0,0.31,-0.01,0
Slovakia,SVK,2021-05-17,0,100,0,0,0,0,0,0,0,0
Slovakia,SVK,2021-05-31,0,98.84,0,0,0.29,0,0,0,0.87,0
Slovakia,SVK,2021-06-14,1.16,98.38,0,0,0,0,0,0,0.46,0
Slovakia,SVK,2021-06-28,13.07,85.23,0,0,0,0,0,0,1.7,0
Slovenia,SVN,2021-03-08,0,17.88,0.76,0,1.15,0,0.08,0,80.13,0
Slovenia,SVN,2021-03-22,0,50.08,0.93,0,0.55,0,0,0,48.44,0
Slovenia,SVN,2021-04-05,0,71.31,0.49,0,0,0,0,0,28.2,0
Slovenia,SVN,2021-04-19,0,84.28,0.15,0,0.05,0,0,0.1,15.42,0
Slovenia,SVN,2021-05-03,0.15,90.44,0,0,0,0,0.05,0,9.36,0
Slovenia,SVN,2021-05-17,0.16,94.69,0,0.08,0,0,0.16,0,4.91,0
Slovenia,SVN,2021-05-31,0.58,97.37,0,0.44,0,0,0.15,0,1.46,0
Slovenia,SVN,2021-06-14,1.91,96.97,0,0,0,0,0.32,0,0.8,0
Slovenia,SVN,2021-06-28,9.64,88.32,0,0,0,0,0,0,2.04,0
Slovenia,SVN,2021-07-12,27.27,63.64,0,0,0,0,0,0,9.09,0
South Africa,ZAF,2021-03-08,0,0.92,0,0,98.62,0,0,0,0.46,0
South Africa,ZAF,2021-03-22,4.94,2.35,0.24,0,89.18,0,0,0,3.29,0
South Africa,ZAF,2021-04-05,6.51,1.92,0,0,83.91,0,0,0,7.66,0
South Africa,ZAF,2021-04-19,2.36,0.47,0.47,0,90.57,0,0,0,6.13,0
South Africa,ZAF,2021-05-03,1.92,4.81,0.32,0,88.46,0,0,0.32,4.17,0
South Africa,ZAF,2021-05-17,7.76,4.94,1.65,0,77.41,0,0,0,8.24,0
South Africa,ZAF,2021-05-31,22,6.89,0.67,0,61.11,0,0,0.22,9.11,0
South Africa,ZAF,2021-06-14,43.2,6.4,0,0,39.6,0,0,0.67,10.13,0
South Africa,ZAF,2021-06-28,76.66,2.54,0,0,10.52,0,0,0.12,10.16,0
South Africa,ZAF,2021-07-12,61.76,2.21,0,0,3.68,0,0,0,32.35,0
South Korea,KOR,2021-03-08,0,11.63,0.39,0.78,1.55,2.33,0,0,83.32,0
South Korea,KOR,2021-03-22,0,8.86,0,0,0,0.37,0.74,0,90.03,0
South Korea,KOR,2021-04-05,0,19.5,0,0,1.86,4.64,0.31,0.62,73.07,0
South Korea,KOR,2021-04-19,0.25,19.12,0,0.25,1.47,4.66,0,1.72,72.53,0
South Korea,KOR,2021-05-03,1.33,31.94,0,0,1.71,3.8,0,0.57,60.65,0
South Korea,KOR,2021-05-17,8.07,32.74,0,0,0.45,0.9,0,0,57.84,0
South Korea,KOR,2021-05-31,1.6,2.13,0,0,0,0,0,0,96.27,0
South Korea,KOR,2021-06-14,1.9,4.03,0,0,0,0,0,0,94.07,0
South Korea,KOR,2021-06-28,22.77,8.48,0,0,0,0,1.79,0,66.96,0
South Korea,KOR,2021-07-12,0,0,0,0,0,0,1.92,0,98.08,0
Spain,ESP,2021-03-08,0,63.95,0.12,0,0.47,0.04,0.27,0,35.15,0
Spain,ESP,2021-03-22,0,76.69,0.77,0.04,0.98,0.04,1.37,0,20.07,0.04
Spain,ESP,2021-04-05,0,85.12,1.07,0.22,1.73,0.04,3.05,0,8.59,0.18
Spain,ESP,2021-04-19,0,84.65,1.72,0.32,1.58,0,5.71,0,5.77,0.25
Spain,ESP,2021-05-03,0.98,83.78,1.52,0.78,2.42,0,6.25,0.04,3.92,0.31
Spain,ESP,2021-05-17,2.56,87.71,0.67,0.98,1.21,0,3.91,0.1,2.56,0.3
Spain,ESP,2021-05-31,9.26,78.37,0.33,1.3,1.63,0,4.51,0,4.04,0.56
Spain,ESP,2021-06-14,15.1,71.64,0.38,0.45,1.01,0.04,3.42,0,7.51,0.45
Spain,ESP,2021-06-28,37.91,43.23,0.24,0.62,5.22,0,4.74,0,6.84,1.2
Spain,ESP,2021-07-12,76.14,12.44,0.22,0,6.51,0,2.17,0,2.3,0.22
Spain,ESP,2021-07-22,96.43,2.38,0,0,0,0,0,0,1.19,0
Sri Lanka,LKA,2021-03-22,0,12.77,0,0,4.26,0,0,0,82.97,0
Sri Lanka,LKA,2021-05-03,0,86.36,1.52,0,0,0,0,0,12.12,0
Sri Lanka,LKA,2021-05-17,0,90.91,0,0,0,0,0,0,9.09,0
Sri Lanka,LKA,2021-05-31,6.98,86.05,0,0,0,0,0,0,6.97,0
Sri Lanka,LKA,2021-06-14,8.2,86.89,0,0,0,0,0,0,4.91,0
Sri Lanka,LKA,2021-06-28,9.85,83.33,0,0,0,0,0,0,6.82,0
Suriname,SUR,2021-03-08,0,6.45,0,0,0,0,12.9,0,80.65,0
Suriname,SUR,2021-04-05,0,8.33,0,0,6.25,0,54.17,0,31.25,0
Suriname,SUR,2021-04-19,0,2.44,0,0,0,0,68.29,0,29.27,0
Suriname,SUR,2021-05-17,0,8.33,0,0,0,0,86.11,0,5.56,0
Sweden,SWE,2021-03-08,0,79.42,0.01,0,3.19,0,0.1,0,17.28,0
Sweden,SWE,2021-03-22,0,88.34,0,0,4.18,0,0.1,0,7.38,0
Sweden,SWE,2021-04-05,0.02,91.08,0.04,0.01,5.43,0,0.17,0.03,3.22,0
Sweden,SWE,2021-04-19,0.13,94.18,0.06,0,3,0,0.08,0.04,2.51,0
Sweden,SWE,2021-05-03,0.17,96.13,0,0.04,2.32,0,0.06,0,1.28,0
Sweden,SWE,2021-05-17,0.51,96.85,0,0.02,1.81,0,0.27,0,0.54,0
Sweden,SWE,2021-05-31,2.42,94.32,0,0,1.74,0,0.58,0,0.94,0
Sweden,SWE,2021-06-14,23.36,75.36,0,0,0.45,0,0.32,0,0.51,0
Sweden,SWE,2021-06-28,40.58,57.49,0.04,0,0.51,0,0.83,0,0.55,0
Sweden,SWE,2021-07-12,66.67,31.16,0,0,0.24,0,0.24,0,1.57,0.12
Switzerland,CHE,2021-03-08,0,77.53,0.26,0,1.65,0,0.15,0,20.41,0
Switzerland,CHE,2021-03-22,0,87.96,0.36,0.04,0.91,0,0.52,0.08,10.13,0
Switzerland,CHE,2021-04-05,0,92.6,0.12,0,0.72,0,0.28,0.08,6.2,0
Switzerland,CHE,2021-04-19,0.22,94.32,0.19,0,1.17,0,0.22,0.1,3.78,0
Switzerland,CHE,2021-05-03,0.83,92.8,0.4,0.05,0.91,0,0.65,0.05,4.31,0
Switzerland,CHE,2021-05-17,0.84,92.13,0.39,0.07,0.77,0,1.44,0.04,4.21,0.11
Switzerland,CHE,2021-05-31,2.57,89.52,0.05,0.05,0.83,0,2.16,0,4.68,0.14
Switzerland,CHE,2021-06-14,10.76,81.88,0.09,0,0.64,0,1.47,0,5.16,0
Switzerland,CHE,2021-06-28,28.27,61.24,0,0,1.5,0,2.78,0,5.57,0.64
Switzerland,CHE,2021-07-12,74.36,18.36,0,0,0,0,2.18,0,4.74,0.36
Thailand,THA,2021-04-19,0,94.32,0,0,1.14,0,1.14,0,3.4,0
Thailand,THA,2021-05-03,2.7,89.19,0,0,0,0,0,2.7,5.41,0
Thailand,THA,2021-05-17,10.47,82.61,0,0,4.74,0,0,0,2.18,0
Thailand,THA,2021-05-31,30.81,60.47,0,0,4.65,0,0,0,4.07,0
Thailand,THA,2021-06-28,35,65,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,2021-04-19,0,1.43,0,0,0,0,7.14,0,91.43,0
Trinidad and Tobago,TTO,2021-05-03,0,0,0,0,0,0,53.93,0,46.07,0
Trinidad and Tobago,TTO,2021-05-17,0,1.75,0,0,0,0,88.6,0,9.65,0
Turkey,TUR,2021-03-08,0,1.06,0.79,0,12,0,0.09,0,86.06,0
Turkey,TUR,2021-03-22,0,5.75,3.27,0,17.42,0,2.33,0,71.23,0
Turkey,TUR,2021-04-05,0,2.01,2.2,0,15.57,0,0.76,0,79.46,0
Turkey,TUR,2021-05-03,0,0,0,0,0.7,0,0,0,99.3,0
Turkey,TUR,2021-05-17,0.34,1.72,0,0,0.69,0,0,0,97.25,0
Turkey,TUR,2021-05-31,1.45,6.28,1.45,0,0.97,0,0.48,0,89.37,0
Turkey,TUR,2021-06-28,55.77,0.9,0.38,0,0.64,0,2.18,0,40.13,0
Turkey,TUR,2021-07-12,84.19,0,0,0,0,0,0.43,0,15.38,0
United Kingdom,GBR,2021-03-08,0,97.21,0.33,0,0.2,0.01,0.02,0.04,2.18,0.01
United Kingdom,GBR,2021-03-22,0.01,97.95,0.27,0.03,0.31,0.01,0.05,0.09,1.28,0
United Kingdom,GBR,2021-04-05,0.09,98.39,0.17,0,0.43,0.01,0.05,0.18,0.68,0
United Kingdom,GBR,2021-04-19,1.52,95.48,0.2,0.02,0.77,0,0.23,0.76,1.02,0
United Kingdom,GBR,2021-05-03,9.09,87.55,0.29,0.03,0.77,0,0.28,1.02,0.97,0
United Kingdom,GBR,2021-05-17,33.69,64.03,0.21,0,0.43,0.01,0.18,0.22,1.22,0.01
United Kingdom,GBR,2021-05-31,73.3,25.94,0.02,0,0.11,0,0.09,0.13,0.41,0
United Kingdom,GBR,2021-06-14,90.43,9.23,0,0,0.07,0,0.04,0.01,0.22,0
United Kingdom,GBR,2021-06-28,98.13,1.65,0,0,0.01,0,0.01,0,0.2,0
United Kingdom,GBR,2021-07-12,99.38,0.55,0,0,0,0,0.01,0,0.06,0
United Kingdom,GBR,2021-07-22,99.75,0.13,0.06,0,0,0,0,0,0.06,0
United States,USA,2021-03-08,0,21.42,0.28,5.31,0.38,19.65,0.35,0.01,52.54,0.06
United States,USA,2021-03-22,0.01,35.71,0.35,8.38,0.54,16.34,1.1,0.04,37.42,0.11
United States,USA,2021-04-05,0.04,51.72,0.38,11.66,0.67,10.4,3.04,0.06,21.89,0.14
United States,USA,2021-04-19,0.28,61.25,0.36,11.36,0.71,6.33,5.53,0.15,13.84,0.19
United States,USA,2021-05-03,1.15,65.98,0.34,10.27,0.67,3.91,8.16,0.15,9.13,0.24
United States,USA,2021-05-17,2.39,67.65,0.24,8.85,0.64,2.44,9.86,0.07,7.62,0.24
United States,USA,2021-05-31,6.64,64.29,0.14,7.55,0.62,1.25,11.9,0.02,7.28,0.31
United States,USA,2021-06-14,23.49,50.68,0.12,5.51,0.26,0.67,12.69,0,6.27,0.31
United States,USA,2021-06-28,54.7,29.46,0.03,2.2,0.06,0.23,9.14,0.01,3.89,0.28
United States,USA,2021-07-12,79.75,12.43,0.03,0.99,0.04,0.03,3.98,0,2.59,0.16
United States,USA,2021-07-22,88.77,8.77,0,0,0,0,2.11,0,0.35,0
Uruguay,URY,2021-03-08,0,0,0,0,0,0,21.21,0,78.79,0
Uruguay,URY,2021-03-22,0,0,0,0,0,0,84.21,0,15.79,0
Uruguay,URY,2021-04-05,0,0,0,0,0,0,48.57,0,51.43,0
Uruguay,URY,2021-04-19,0,0,0,0,0,0,52.99,0,46.26,0.75
Zambia,ZMB,2021-05-31,100,0,0,0,0,0,0,0,0,0
